image_id,filename,hairstyle_label,category,difficulty,hair_length,description,keywords,search_profile
1,IMG_0264.JPG,Crown Braid,Wedding/Party,Advanced,Medium/Long,A advanced crown braid that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, crown braid",wedding/party advanced medium/long hairstyle everyday occasion
2,IMG_0265.JPG,High Bun,Simple/Everyday,Beginner,Medium/Long,A beginner high bun that's well suited for simple/everyday occasions and works best on medium/long hair.,"simple/everyday, medium/long, beginner, high bun",simple/everyday beginner medium/long hairstyle everyday occasion
3,IMG_0266.JPG,Pull-through Braid,Simple/Everyday,Beginner,Medium/Long,A beginner pull-through braid that's well suited for simple/everyday occasions and works best on medium/long hair.,"simple/everyday, medium/long, beginner, pull-through braid",simple/everyday beginner medium/long hairstyle everyday occasion
4,IMG_0267.JPG,Braided Updo,Wedding/Party,Advanced,Medium/Long,A advanced braided updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, braided updo",wedding/party advanced medium/long hairstyle everyday occasion
5,IMG_0270.JPG,Twisted Updo,Wedding/Party,Advanced,Medium/Long,A advanced twisted updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, twisted updo",wedding/party advanced medium/long hairstyle everyday occasion
6,IMG_0271.JPG,Twisted Updo,Wedding/Party,Advanced,Medium/Long,A advanced twisted updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, twisted updo",wedding/party advanced medium/long hairstyle everyday occasion
7,IMG_0273.JPG,Floral Updo,Wedding/Party,Advanced,Medium/Long,A advanced floral updo that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, floral updo",wedding/party advanced medium/long hairstyle everyday occasion
8,IMG_0274.JPG,Low Bun,Wedding/Party,Beginner,Medium/Long,A beginner low bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, beginner, low bun",wedding/party beginner medium/long hairstyle everyday occasion
9,IMG_0277.JPG,Pearl Braid,Wedding/Party,Intermediate,Short/Medium/Long,A intermediate pearl braid that's well suited for wedding/party occasions and works best on short/medium/long hair.,"wedding/party, short/medium/long, intermediate, pearl braid",wedding/party intermediate short/medium/long hairstyle everyday occasion
10,IMG_0278.JPG,Low Bun,Wedding/Party,Beginner,Medium/Long,A beginner low bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, beginner, low bun",wedding/party beginner medium/long hairstyle everyday occasion
11,IMG_0279.JPG,Braided Low Bun,Wedding/Party,Intermediate,Medium/Long,A intermediate braided low bun that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, intermediate, braided low bun",wedding/party intermediate medium/long hairstyle everyday occasion
12,IMG_0280.JPG,Floral Half-Up,Wedding/Party,Advanced,Medium/Long,A advanced floral half-up that's well suited for wedding/party occasions and works best on medium/long hair.,"wedding/party, medium/long, advanced, floral half-up",wedding/party advanced medium/long hairstyle everyday occasion
13,IMG_1044.JPG,Fishtail Half-Up,Wedding/Party,Beginner,Medium/Long,A beginner fishtail half-up that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, beginner, fishtail half-up",wedding/party/everyday beginner medium/long hairstyle everyday occasion
14,IMG_2576.jpg,Half-Up Ponytails,Wedding/Party/Everyday,Beginner,Short/Medium/Long,A beginner half-up ponytails that's well suited for wedding/party/everyday occasions and works best on short/medium/long hair.,"wedding/party/everyday, short/medium/long, beginner, half-up ponytails",wedding/party/everyday beginner short/medium/long hairstyle everyday occasion
15,IMG_2699.jpg,Scarf Braid,Wedding/Party/Everyday,Intermediate,Medium/Long,A intermediate scarf braid that's well suited for wedding/party/everyday occasions and works best on medium/long hair.,"wedding/party/everyday, medium/long, intermediate, scarf braid",wedding/party/everyday intermediate medium/long hairstyle everyday occasion
